Detected,Issue,Related to Tensor,Buggy API,Time,Version,CUDA,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Within Scope,Need More Inspection,Reason not agree,Unnamed: 16
TitanFuzz,https://github.com/pytorch/pytorch/issues/99265,yes,torch.addcmul,2023-04-16T13:44:32Z,2.0.0,cu118,Logical,TypeError,invalid combination,TypeError: addcmul() received an invalid combination of arguments - got unrecognized keyword arguments: tensor2,API Input Context,Modeling Specific Inputs,All,,,
,https://github.com/pytorch/pytorch/issues/100087,yes,torch.nn.TransformerEncoderLayer,2023-04-26T12:44:11Z,2.0.0,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing the Output of Two API Calls,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/93249,yes,torch.Tensor.min,2023-01-30T05:04:16Z,2.0.0,cu117,Logical,AssertionError,only supports,AssertionError: float16 user-defined reduction only supports 'sum' and 'any' but got min,API Input Context,Modeling Specific Inputs,All,,,
,https://github.com/pytorch/pytorch/issues/98948,yes,torch.tensor,2023-04-12T16:53:22Z,2.0.0,cu118,Logical,TypeError,len(),TypeError: len() of a 0-d tensor,Test Case Context,Comparing the Output of Two API Calls,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/97189,yes,torch.randint,2023-03-20T21:57:52Z,2.0.0,cu117,Logical,RuntimeError,Overflow,RuntimeError: Overflow when unpacking long,API Input Context,Large Input Tensor,All,,,
,https://github.com/pytorch/pytorch/issues/92674,yes,torch.nn.BatchNorm2d,2023-01-20T08:15:59Z,2.0.0,cu117,Logical,RuntimeError,must match,RuntimeError: The size of tensor a (3) must match the size of tensor b (2) at non-singleton dimension 0,Test Case Context,Modeling Multiple API Usage Pattern,"TitanFuzz, FuzzGPT",,,
,https://github.com/pytorch/pytorch/issues/100085,yes,torch.Tensor.norm,2023-04-26T12:40:00Z,2.0.0,cu11,Logical,RuntimeError,Expected out tensor,"RuntimeError: Expected out tensor to have dtype float, but got c10::BFloat16 instead",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/104697,no,torch.nn.LSTM,2023-07-06T10:23:34Z,2.0.0,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing API Output under Different Settings ,,,,
,https://github.com/pytorch/pytorch/issues/93819,yes,torch.nn.functional.log_softmax,2023-02-01T05:27:07Z,2.0.0,cu117,Logical,BackendCompilerFailed,assert,"    assert all(index[i] == 0 for i in reduced_idx)
AssertionError",Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/92740,yes,torch.nn.Conv2d,2023-01-21T03:41:21Z,2.0.0,cu117,Logical,RuntimeError,should be the same,RuntimeError: Input type (torch.FloatTensor) and weight type (Mkldnntorch.FloatTensor) should be the same,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/92674,yes,torch.nn.Linear,2023-01-20T08:15:59Z,2.0.0,cu117,Logical,RuntimeError,The size of tensor a,RuntimeError: The size of tensor a (3) must match the size of tensor b (2) at non-singleton dimension 0,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/95262,yes,torch.Tensor.moveaxis,2023-02-22T01:57:02Z,2.0.0,cu117,Logical,Others,is not defined,NameError: name 'buf0' is not defined,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/98675,yes,torch.Tensor.matmul,2023-04-08T16:29:08Z,2.0.0,cu117,Logical,RuntimeError,Sparse CSR tensors,RuntimeError: Sparse CSR tensors do not have strides,API Input Context,Modeling CSR Tensors,,,,
,https://github.com/pytorch/pytorch/issues/96964,yes,torch.Tensor.matmul,2023-03-16T17:01:27Z,2.0.0,N.A,Logical,Others,Cannot read,rocBLAS error: Cannot read /home/kali/miniconda3/envs/pytorch2/lib/python3.9/site-packages/torch/lib/rocblas/library/TensileLibrary.dat: No such file or directory,API Input Context,Modeling Specific Inputs,,,,
TitanFuzz,https://github.com/pytorch/pytorch/issues/93982,yes,torch.linalg.lstsq,2023-02-02T19:44:24Z,2.0.0,cu117,Logical,RuntimeError,shapes cannot,# RuntimeError: mat1 and mat2 shapes cannot be multiplied (6x3 and 2x3),Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/111247,no,torch.index_select,2023-10-13T21:53:59Z,2.0.0,cu117,Logical,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/109448,yes,torch.fft.fft,2023-09-17T00:24:34Z,2.0.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing API Output under Different Settings ,,,,
,https://github.com/pytorch/pytorch/issues/101249,yes,torch.einsum,2023-05-12T02:59:52Z,2.0.0,cu121,Performance bug,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/98861,yes,torch.cat,2023-04-11T19:00:20Z,2.0.0,cu121,Logical,RuntimeError,Sparse CSR tensors,RuntimeError: Sparse CSR tensors do not have is_contiguous,API Input Context,Modeling Sparse Input Tensor,,,,
TitanFuzz,https://github.com/pytorch/pytorch/issues/92742,yes,torch.Tensor.addmm,2023-01-21T03:55:09Z,2.0.0,cu117,Logical,RuntimeError,The size of tensor a,RuntimeError:  The size of tensor a (64) must match the size of tensor b (32) at non-singleton dimension 0,API Usage Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/97128,yes,torch.nn.MultiheadAttention,2023-03-20T06:01:36Z,2.0.0,cu118,Logical,TypeError,must be Tensor,"TypeError: _native_multi_head_attention(): argument 'qkv_bias' (position 7) must be Tensor, not NoneType",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/105742,yes,torch.unique,2023-07-21T14:35:11Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/108882,yes,torch.Tensor.any,2023-09-08T18:02:03Z,2.0.1,cu118,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/109445,yes,torch.sparse.mm,2023-09-16T20:47:59Z,2.0.1,cu117,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/109462,yes,torch.sparse_coo_tensor,2023-09-17T16:45:33Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/103949,no,torch.save,2023-06-21T06:25:05Z,2.0.1,cu118,Logical,RuntimeError,Parent directory,RuntimeError: Parent directory C:\Users\ユーザー名\source\ does not exist.,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/110285,yes,torch.ones,2023-09-29T15:52:26Z,2.0.1,N.A,Logical,TypeError,unsupported ScalarType,TypeError: Got unsupported ScalarType BFloat16,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/105632,no,torch.nn.TransformerDecoderLayer,2023-07-20T02:41:58Z,2.0.1,cu117,Vulnerability,Others,integer division,ZeroDivisionError: integer division or modulo by zero,API Input Context,Zero Integer Argument,,,,
,https://github.com/pytorch/pytorch/issues/107125,yes,torch.nn.MaxPool2d,2023-08-14T09:18:31Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/106665,yes,torch.nn.Linear,2023-08-05T12:53:17Z,2.0.1,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Zero Integer Argument,,,,
,https://github.com/pytorch/pytorch/issues/105313,yes,torch.nn.LeakyReLU,2023-07-17T08:38:49Z,2.0.1,cu118,Logical,RuntimeError,INTERNAL ASSERT,"RuntimeError: 0 INTERNAL ASSERT FAILED at ""../torch/csrc/jit/ir/alias_analysis.cpp"":615, please report a bug to PyTorch. We don't have an op for aten::leaky_relu but it isn't a special case.  Argument types: Tensor, bool, ",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/108226,yes,torch.nn.functional.pad,2023-08-30T10:24:22Z,2.0.1,cu117,Logical,TypeError,Expected a value,"aten::pad(Tensor self, SymInt[] pad, str mode=""constant"", float? value=None) -> Tensor: Expected a value of type 'Optional[float]' for argument 'value' but instead found type 'bool'.",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/108345,yes,torch.nn.functional.cross_entropy,2023-08-31T11:06:47Z,2.0.1,N.A,Logical,AssertionError,Assertion,"../aten/src/ATen/native/cuda/NLLLoss2d.cu:107: nll_loss2d_forward_kernel: block: [188,0,0], thread: [32,0,0] Assertion input_index >= 0failed. ../aten/src/ATen/native/cuda NLLLoss2d.cu:107: nll_loss2d_forward_kernel: ",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/107680,yes,torch.nn.functional.cross_entropy,2023-08-22T12:04:15Z,2.0.1,CPU,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing API Output under Different Settings ,,,,
,https://github.com/pytorch/pytorch/issues/104606,yes,torch.nn.functional.conv1d,2023-07-04T19:02:39Z,2.0.1,N.A,Logical,RuntimeError,please report a bug to PyTorch,"RuntimeError: isList() INTERNAL ASSERT FAILED at ""/Users/runner/work/pytorch/pytorch/pytorch/aten/src/ATen/core/ivalue_inl.h"":2034, please report a bug to PyTorch. Expected GenericList but got String",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/109453,yes,torch.nn.ConvTranspose2d,2023-09-17T06:11:15Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/104701,yes,torch.nn.Conv3d,2023-07-06T12:17:30Z,2.0.1,cu117,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/110387,yes,torch.nn.Conv2d,2023-10-02T13:34:23Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/104860,yes,torch.nn.Conv2d,2023-07-10T07:06:15Z,2.0.1,cu117,Logical,RuntimeError,Invalid padding size,"RuntimeError: Invalid padding size, expected 2 but got 4",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/101529,yes,torch.nn.Conv2d,2023-05-16T07:34:32Z,2.0.1,cu118,Performance bug,Performance bug,Slow Execution,Slow Execution,Test Case Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/108043,yes,torch.nn.ConstantPad2d,2023-08-28T07:45:45Z,2.0.1,cu118,Logical,RuntimeError,Trying to create tensor,RuntimeError: Trying to create tensor with negative dimension -1: [-1],Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
DeepRel,https://github.com/pytorch/pytorch/issues/105629,yes,torch.nn.ConstantPad2d,2023-07-20T02:38:55Z,2.0.1,cu117,Logical,RuntimeError,must be non-negative,RuntimeError: narrow(): length must be non-negative.,API Input Context,Negative Integer Argument,,,,
DeepRel,https://github.com/pytorch/pytorch/issues/105629,yes,torch.nn.ConstantPad2d,2023-07-20T02:38:55Z,2.0.1,cu117,Logical,RuntimeError,must be non-negative,RuntimeError: narrow(): length must be non-negative.,API Input Context,Zero Integer Argument,,,,
,https://github.com/pytorch/pytorch/issues/108521,yes,torch.Tensor.mm,2023-09-04T15:54:12Z,2.0.1,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/111457,yes,torch.matmul,2023-10-18T05:12:55Z,2.0.1,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/105726,yes,torch.matmul,2023-07-21T06:56:04Z,2.0.1,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/104867,yes,torch.fft.irfftn,2023-07-10T12:19:05Z,2.0.1,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Comparing API Output under Different Settings ,,,,
,https://github.com/pytorch/pytorch/issues/108496,yes,torch.Tensor.cummax,2023-09-03T17:42:17Z,2.0.1,cu117,Performance bug,Performance bug,Slow Execution,Slow Execution,API Usage Context,Oracle for Performance Bug Detection,,,,
,https://github.com/pytorch/pytorch/issues/113755,yes,torch.nn.Upsample,2023-11-15T12:35:57Z,2.1.0,,Logical,Others,Failed to export the model,"torch.onnx.OnnxExporterError: Failed to export the model to ONNX. Generating SARIF report at 'report_dynamo_export.sarif'. SARIF is a standard format for the output of static analysis tools. SARIF logs can be loaded in VS Code SARIF viewer extension, or SARIF web viewer (https://microsoft.github.io/sarif-web-component/). Please report a bug on PyTorch Github: https://github.com/pytorch/pytorch/issues",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/97532,yes,torch.nn.TransformerEncoderLayer,2023-03-24T14:47:03Z,2.1.0,cu118,Logical,Others,Converting mask without,UserWarning,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/111509,yes,torch.Tensor.sum,2023-10-18T21:16:16Z,2.1.0,N.A,Logical,RuntimeError,operands have incompatible,"RuntimeError: sparse_mask(): operands have incompatible sizes; self has size [2449029, 1] but mask has size [2449029, 2449029]",Test Case Context,Supporting External Library,,,,
,https://github.com/pytorch/pytorch/issues/110780,yes,torch.Tensor.set_,2023-10-07T03:30:06Z,2.1.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/107591,yes,torch.Tensor.repeat_interleave,2023-08-21T14:03:25Z,2.1.0,cu118,Logical,RuntimeError,Expected all tensors to be on the same device,"RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu! (when checking argument for argument index in method wrapper_CUDA__index_select)",API Usage Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/98422,yes,torch.Tensor.flip,2023-04-05T16:34:29Z,2.1.0,cu118,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/111925,yes,torch.logical_and,2023-10-24T15:37:51Z,2.1.0,,Logical,Others,An output with one or more elements,"UserWarning: An output with one or more elements was resized since it had shape [2, 128], which does not match the required output shape [4, 2, 128]. This behavior is deprecated, and in a future PyTorch release outputs will not be resized unless they have zero elements. You can explicitly reuse an out tensor t by resizing it, inplace, to zero elements with t.resize_(0). (Triggered internally at /opt/conda/conda-bld/pytorch_1695392022560/work/aten/src/ATen/native/Resize.cpp:28.)
  torch.logical_and(b, a)",API Usage Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/109108,yes,torch.sparse_coo_tensor,2023-09-12T13:27:01Z,2.1.0,CPU,Logical,TypeError,only integer tensors of a single element,# TypeError: only integer tensors of a single element can be converted to an index,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/105822,yes,torch.Tensor.scatter,2023-07-24T03:52:52Z,2.1.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/107087,yes,torch.randn,2023-08-12T16:21:00Z,2.1.0,N.A,Logical,RuntimeError,not implemented for,"RuntimeError: ""add_stub"" not implemented for 'Float8_e5m2'",API Input Context,Supporting Specific Data Types,,,,
,https://github.com/pytorch/pytorch/issues/108407,yes,torch.einsum,2023-09-01T09:19:57Z,2.1.0,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/106011,yes,torch.nn.MultiLabelMarginLoss,2023-07-26T05:38:37Z,2.1.0,,Logical,RuntimeError,Expected non-empty vector or matrix with,"RuntimeError: Expected non-empty vector or matrix with optional 0-dim batch size, but got: [20, 9, 20]",API Usage Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/101039,yes,torch.nn.Softmax,2023-05-10T01:24:10Z,2.1.0,cu118,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/105901,yes,torch.nn.MaxPool2d,2023-07-25T06:57:17Z,2.1.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/97807,yes,torch.nn.functional.pad,2023-03-28T17:52:04Z,2.1.0,cu116,Logical,ValueError,Mask argument cannot be block type,ValueError('Mask argument cannot be block type if pointer argument is not a block'),Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/100055,yes,torch.nn.functional.linear,2023-04-26T02:17:10Z,2.1.0,N.A,Logical,BackendCompilerFailed,is not tracked with proxy for,RuntimeError: s0 is not tracked with proxy for <torch.fx.experimental.proxy_tensor.PythonKeyTracer object at 0x7f25897eed7,Test Case Context,Modeling Decorators for DL Execution Mode,,,,
,https://github.com/pytorch/pytorch/issues/111484,yes,torch.nn.CrossEntropyLoss,2023-10-18T16:54:10Z,2.1.0,cu121,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,,,,
,https://github.com/pytorch/pytorch/issues/110885,yes,torch.nn.Conv3d,2023-10-09T19:29:22Z,2.1.0,cu121,Performance bug,Performance bug,Slow Execution,Slow Execution,API Usage Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/103852,yes,torch.nn.Conv2d,2023-06-19T15:26:56Z,2.1.0,cu121,Vulnerability,Segmentation fault,Segmentation fault,Segmentation fault (core dumped),Test Case Context,Modeling Specific Code Pattern,,,,
,https://github.com/pytorch/pytorch/issues/101356,yes,torch.nn.Conv2d,2023-05-14T08:31:07Z,2.1.0,N.A,Logical,AssertionError,expected size,"AssertionError: expected size 3==3, stride 98==784 at dim=0",Test Case Context,Modeling Decorators for DL Execution Mode,,,,
,https://github.com/pytorch/pytorch/issues/109552,yes,torch.nn.Conv1d,2023-09-18T22:49:15Z,2.1.0,N.A,Logical,RuntimeError,Failed running,"torch._dynamo.exc.TorchRuntimeError: Failed running call_module L__self___conv(*(FakeTensor(..., size=(1, 6, 3)),), **{}): Trying to create tensor with negative dimension -2: [1, 6, -2]",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/104823,yes,torch.nn.AdaptiveAvgPool3d,2023-07-08T09:00:01Z,2.1.0,cu118,Logical,RuntimeError,Input dimension should be at least,"With output_size = [1,2,3,4], the error is: ""ValueError: Input dimension should be at least 5"".
With output_size = [1,2,3,4,5], the error is: ""ValueError: Input dimension should be at least 6"".
With output_size = [1,2,3,4,5,6], the error is: ""ValueError: Input dimension should be at least 7"".
Additionally, when the output_size is less than 3, the error message raised is: ""RuntimeError: adaptive_avg_pool3d: output_size must be 3"". this error message should be raised too when the output_size is bigger than 3?",API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/104698,yes,torch.nn.AdaptiveAvgPool2d,2023-07-06T10:31:43Z,2.1.0,cu118,Logical,RuntimeError,should be at least,Input dimension should be at least 5,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/98122,yes,torch.Tensor.movedim,2023-04-01T04:36:37Z,2.1.0,cu117,Logical,RuntimeError,out of bounds for,"RuntimeError: setStorage: sizes [2, 2, 6, 3, 2], strides [72, 36, 6, 2, 1], storage offset 0, and itemsize 4 requiring a storage size of 576 are out of bounds for storage of size 288",Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/109497,yes,torch.lobpcg,2023-09-18T13:41:02Z,2.1.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/111029,yes,torch.linalg.matrix_norm,2023-10-11T13:13:54Z,2.1.0,cu121,Logical,Others,Expected a value,"Expected a value of type 'str' for argument 'ord' but instead found type 'Union[int, str]'",Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/97333,yes,torch.Tensor.fmod,2023-03-22T09:58:49Z,2.1.0,cu117,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/101950,no,torch.Tensor.flip,2023-05-21T12:55:42Z,2.1.0,N.A,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/111251,yes,torch.Tensor.equal,2023-10-13T22:10:35Z,2.1.0,cu118,Logical,Others,Crash,Crash,API Input Context,NaN input tensor,,,,
,https://github.com/pytorch/pytorch/issues/90695,yes,torch.empty,2022-12-12T14:43:26Z,2.1.0,CPU,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,1,trigger: output of torch.empty seems wrong with sparse arguments layout=sparse_csr|sparse_csc,
,https://github.com/pytorch/pytorch/issues/108676,yes,torch.nn.functional.conv_transpose2d,2023-09-06T17:45:45Z,2.0.0,,Logical,RuntimeError,could not construct a memory,RuntimeError: could not construct a memory descriptor using a format tag,API Usage Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/108642,yes,torch.Tensor.topk,2023-09-06T09:45:04Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,
,https://github.com/pytorch/pytorch/issues/104020,yes,torch.nn.functional.linear,2023-06-22T04:44:24Z,2.1.0,cu118,Logical,AssertionError,The values for attribute,"AssertionError: The values for attribute 'shape' do not match: torch.Size([1, 1, 2]) != torch.Size([1, 2, 2]).",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/100343,yes,torch.sum,2023-04-30T18:44:23Z,2.1.0,cu118,Logical,IndexError,out of bounds for,IndexError: index 3 is out of bounds for dimension 0 with size 2,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
TitanFuzz,https://github.com/pytorch/pytorch/issues/98970,yes,torch.nn.functional.dropout,2023-04-12T20:45:41Z,2.1.0,cu118,Logical,RuntimeError,result type Float can't be,RuntimeError: result type Float can't be cast to the desired output type Long,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,
,https://github.com/pytorch/pytorch/issues/96789,yes,torch.Tensor.cumprod,2023-03-15T00:30:22Z,2.0.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED,RuntimeError: t == DeviceType::CUDA INTERNAL ASSERT FAILED ,API Input Context,Modeling Specific Devices,,,,
,https://github.com/pytorch/pytorch/issues/96769,yes,torch.sparse.mm,2023-03-14T20:15:43Z,2.0.0,,Logical,RuntimeError,INTERNAL ASSERT FAILED, RuntimeError: mat2_.is_sparse() INTERNAL ASSERT FAILED at ,Test Case Context,Modeling Multiple API Usage Pattern,,,,
,https://github.com/pytorch/pytorch/issues/133093,yes,torch.nn.Conv2d,2024-08-09T14:37:43Z,2.0.1,,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Devices,,,,
