Detected,Issue,Related to Tensor,Version,Buggy API,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Description,Need More Inspection(0/1),Reason not agree,Unnamed: 14,Time,Related,CUDA
ACETest,https://github.com/tensorflow/tensorflow/issues/62146,yes,2.14.0,tf.raw_ops.BiasAdd,Vulnerability,Check failed,Aborted (core dumped),"2023-10-18 13:29:08.644285: F tensorflow/core/framework/tensor_shape.cc:357] Check failed: d < dims() (2 vs. 2)
Aborted (core dumped)",API Input Context,Generating Tensors with Incompatible Shapes,Improper input validation,,,,2023-10-18T05:32:47Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/62088,yes,2.14.0,tf.gather,Logical,InvalidArgumentError,is not compatible with result shape,"tensorflow.python.framework.errors_impl.InvalidArgumentError: {{function_node __wrapped__GatherV2_device_/job:localhost/replica:0/task:0/device:CPU:0}} Shape used to set computation result layout (s32[3,2]{1,0}) is not compatible with result shape (s32[2,2])
         [[{{node cluster_1_1/xla_compile}}]] [Op:GatherV2] name:",API Input Context,Generating Tensors with Incompatible Shapes,"But looks like the doc does not tell us what to do when the batch_dim dimensions of params and indices disagree. Should the formula be updated to something like: def batched_result_shape(p_shape, i_shape, axis=0, batch_dims=0):
return i_shape[:batch_dims] + p_shape[batch_dims:axis] + i_shape[batch_dims:] + p_shape[axis+1:] or, should we just add a validation check to count the mismatch of batch_dim dimensions of params and indices?",,,,2023-10-11T12:07:56Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/62070,yes,2.14.0,tf.truncatemod,Logical,NotFoundError,Could not find device for node,NotFoundError: Could not find device for node: {{node TruncateMod}} = TruncateMod[T=DT_BFLOAT16],API Input Context,Supporting Specific Data Types,supports the half and bfloat16 data type but in practical it does not.,,,,2023-10-09T08:36:40Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61968,yes,2.14.0,tf.transpose,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-09-25T00:12:15Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61965,yes,2.14.0,tf.math.floordiv,Vulnerability,InvalidArgumentError,Integer division by zero,InvalidArgumentError: Exception encountered when calling layer 'model_21' (type Model). {{function_node __wrapped__FloorDiv_device_/job:localhost/replica:0/task:0/device:CPU:0}} Integer division by zero [Op:FloorDiv] name:,API Input Context,Empty Input Tensor,,,,,2023-09-23T19:51:17Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61955,yes,2.13.0,tf.linalg.svd,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-09-23T08:44:22Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61938,yes,2.14.0,tf.keras.layers.Embedding,Logical,InvalidArgumentError,Exception encountered when calling layer,"InvalidArgumentError: Exception encountered when calling layer 'embedding_4' (type Embedding). {{function_node __wrapped__ResourceGather_device_/job:localhost/replica:0/task:0/device:CPU:0}} indices[0] = 64 is not in [0, 64) [Op:ResourceGather] name:",API Input Context,Large Input Tensor,,,,,2023-09-21T12:57:04Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61916,yes,2.13.0,tf.linalg.cholesky,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,,2023-09-19T13:54:42Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61911,no,2.13.0,tf.device,Logical,Others,cudaError_t.cudaSuccess,"(<cudaError_t.cudaSuccess: 0>, 0)
(<cudaError_t.cudaSuccess: 0>, 7)
(<cudaError_t.cudaSuccess: 0>, 7)
(<cudaError_t.cudaSuccess: 0>, 0)",API Input Context,Modeling Specific Devices,,1.0,"trigger: This happens when: 1. tensorflow is initializing GPU context on this line (tf.device), 2. there is no materialization of tensors on GPU",,2023-09-19T10:21:44Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61907,yes,2.13.0,tf.linalg.cholesky,Logical,NotFoundError,Could not find device for node,"NotFoundError: Could not find device for node: {{node Cholesky}} = Cholesky[T=DT_HALF]
All kernels registered for op Cholesky:",API Input Context,Supporting Specific Data Types,"unsupported data type
expected to accept tensor in half precision but it fails",,,,2023-09-19T05:37:10Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61875,yes,2.12.0,tf.cast,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,casting round issue,,,,2023-09-15T12:50:23Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61866,no,2.12.0,tf.keras.layers.StringLookup,Performance bug,Performance bug,Memory Leak,Memory Leak,Test Case Context,Oracle for Performance Bug Detection,,,,,2023-09-14T17:44:28Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61861,yes,2.13.0,tf.nn.elu,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Others,Others,,,,,2023-09-14T13:33:11Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61856,yes,2.13.0,tf.reshape,Logical,ValueError,Shape must be rank 1 but is rank,"ValueError: Shape must be rank 1 but is rank 0 for '{{node Reshape_1}} = Reshape[T=DT_FLOAT, Tshape=DT_INT32](Reshape, Reshape_1/shape)' with input shapes: [2,2], [].",API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-09-13T21:09:29Z,1.0,N.A
FuzzGPT,https://github.com/tensorflow/tensorflow/issues/61827,yes,2.13.0,tf.linalg.eigvals,Logical,Others,referenced before assignment,UnboundLocalError: local variable 'out_dtype' referenced before assignment,API Input Context,Supporting Specific Data Types,,,,,2023-09-10T15:58:12Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61826,yes,2.13.0,tf.linalg.eigvals,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Specific Inputs,,,,,2023-09-10T15:54:18Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61820,yes,2.14.0,tf.compat.v1.boolean_mask,Logical,Others,Failed,"[PhysicalDevice(name='/physical_device:CPU:0', device_type='CPU'), PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
tf.Tensor([0 1 2 3], shape=(4,), dtype=int32)
Failed!",API Input Context,Supporting Specific Data Types,"I think it's worth updating the documentation to state that the mask will be cast to boolean if it is not a boolean Tensor, or warning users that the mask dtype should be boolean.",,,,2023-09-09T09:40:31Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61815,yes,2.13.0,tf.keras.layers.DepthwiseConv2D,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-09-08T14:16:17Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61800,yes,2.14.0,tf.nn.sigmoid,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,,2023-09-06T11:59:27Z,1.0,N.A
FreeFuzz,https://github.com/tensorflow/tensorflow/issues/61780,yes,2.14.0,tf.gather,Vulnerability,Check failed,Aborted (core dumped),"v2.14.0-rc0-34-gdd01672d9a9 2.14.0-rc1
2023-09-03 13:08:24.487989: F ./tensorflow/core/util/gpu_launch_config.h:160] Check failed: work_element_count >= 0 (0 vs. -549025096)
Aborted (core dumped)",API Input Context,Large Input Tensor,,,,,2023-09-03T14:31:11Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61778,yes,2.14.0,tf.keras.layers.MaxPooling1D,Vulnerability,Check failed,Aborted (core dumped),"2023-09-03 11:34:09.267078: I tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:442] Loaded cuDNN version 8600
2023-09-03 11:34:09.267132: F tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:1019] Check failed: cudnnSetPoolingNdDescriptor( handle_.get(), (pooling_descriptor.mode() == dnn::PoolingMode::kMaximum ? cudnn_max_pooling_mode : CUDNN_POOLING_AVERAGE_COUNT_EXCLUDE_PADDING), propagate_nans ? CUDNN_PROPAGATE_NAN : CUDNN_NOT_PROPAGATE_NAN, nd, shape.data(), padding.data(), strides.data()) == CUDNN_STATUS_SUCCESS (3 vs. 0)
Aborted (core dumped)",API Input Context,Large Integer Argument,,,,,2023-09-03T14:26:52Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61712,yes,2.13.0,tf.function,Logical,ValueError,Structure of Python function inputs does not match input_signature,ValueError: Structure of Python function inputs does not match input_signature:,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-08-27T12:47:18Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61701,yes,2.13.0,tf.math.top_k,Logical,InvalidArgumentError,was expected to be a int64 tensor,tensorflow.python.framework.errors_impl.InvalidArgumentError: cannot compute AddV2 as input #1(zero-based) was expected to be a int64 tensor but is a int32 tensor [Op:AddV2] name:,API Input Context,Supporting Specific Data Types,,1.0,Maybe Specific Input argument?,,2023-08-25T18:38:43Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61675,yes,2.13.0,tf.linalg.pinv,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Usage Context,Modeling Specific Inputs,,1.0,I think it's something diffrerent,,2023-08-23T13:32:23Z,1.0,N.A
FreeFuzz,https://github.com/tensorflow/tensorflow/issues/61780,yes,2.14.0,tf.compat.v1.gather,Vulnerability,Check failed,Aborted (core dumped),"2023-09-03 13:08:24.487989: F ./tensorflow/core/util/gpu_launch_config.h:160] Check failed: work_element_count >= 0 (0 vs. -549025096)
Aborted (core dumped)",API Input Context,Large Input Tensor,,,,,2023-09-03T14:31:11Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61643,yes,2.13.0,tf.keras.layers.RepeatVector,Vulnerability,Check failed,Aborted,"2023-08-18 22:31:59.138979: F tensorflow/tsl/framework/bfc_allocator.cc:797] Check failed: c->in_use() && (c->bin_num == kInvalidBinNum) 
Aborted",API Input Context,Large Integer Argument,,,,,2023-08-19T02:33:17Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/61642,yes,2.13.0,tf.compat.v1.layers.MaxPooling1D,Vulnerability,Check failed,Aborted,"2023-08-18 22:04:08.473555: F tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:983] Check failed: cudnnSetPoolingNdDescriptor( handle_.get(), (pooling_descriptor.mode() == dnn::PoolingMode::kMaximum ? cudnn_max_pooling_mode : CUDNN_POOLING_AVERAGE_COUNT_EXCLUDE_PADDING), propagate_nans ? CUDNN_PROPAGATE_NAN : CUDNN_NOT_PROPAGATE_NAN, nd, shape.data(), padding.data(), strides.data()) == CUDNN_STATUS_SUCCESS (3 vs. 0)
Aborted",API Input Context,Large List Element,,,,,2023-08-19T02:28:18Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/61639,yes,2.14.0,tf.math.softmax,Logical,InvalidArgumentError,invalid configuration argument,"Non-OK-status: GpuLaunchKernel( GenerateNormalizedProb<T, acc_type, kUnroll>, numBlocks, numThreadsPerBlock, 0, cu_stream, reinterpret_cast<const T*>(logits_in_.flat().data()), reinterpret_cast<const acc_type*>( sum_probs.flat<acc_type>().data()), reinterpret_cast<const T*>(max_logits.flat().data()), const_cast<T*>(softmax_out->flat().data()), rows, cols, log_) status: INTERNAL: invalid configuration argument",API Input Context,Large List Element,,,,,2023-08-18T13:55:11Z,1.0,cu118
DocTer,https://github.com/tensorflow/tensorflow/issues/61605,yes,2.13.0,tf.keras.layers.MaxPool2D,Vulnerability,Check failed,Allocation of,"{""pid"":7,""type"":""jupyter"",""level"":40,""msg"":""2023-08-17 14:26:40.077428: W tensorflow/tsl/framework/cpu_allocator_impl.cc:83] Allocation of 6093750902 exceeds 10% of free system memory."",""time"":""2023-08-17T14:26:40.077Z"",""v"":0}
{""pid"":7,""type"":""jupyter"",""level"":40,""msg"":""2023-08-17 14:26:42.860963: F tensorflow/core/framework/tensor_shape.cc:587] Check failed: size >= 0 (0 vs. -1248091845)"",""time"":""2023-08-17T14:26:42.861Z"",""v"":0}",API Input Context,Large List Element,,,,,2023-08-17T15:21:19Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/62778,yes,2.13.0,tf.shape,Logical,InvalidArgumentError,dimension 0 out of bounds,tensorflow.python.framework.errors_impl.InvalidArgumentError: {{function_node __wrapped__StridedSlice_device_/job:localhost/replica:0/task:0/device:GPU:0}} slice index 1 of dimension 0 out of bounds. [Op:StridedSlice] name: strided_slice/ [[{{node numpy_function_1}}]] [Op:IteratorGetNext] name:,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2024-01-11T02:23:23Z,,
,https://github.com/tensorflow/tensorflow/issues/62509,yes,2.14.0,tf.tan,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-11-30T09:59:49Z,,
,https://github.com/tensorflow/tensorflow/issues/62509,yes,2.14.0,tf.math.reduce_prod,Logical,Inconsistent results,Inconsistent results,Inconsistent results,Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-11-30T09:59:49Z,,
,https://github.com/tensorflow/tensorflow/issues/62504,yes,2.14.0,tf.squeeze,Vulnerability,Others,MemoryError: std::bad_alloc,"/usr/local/lib/python3.10/dist-packages/tensorflow/python/ops/gen_array_ops.py in squeeze(input, axis, name)
  10614   if tld.is_eager:
  10615     try:
> 10616       _result = pywrap_tfe.TFE_Py_FastPathExecute(
  10617         _ctx, ""Squeeze"", name, input, ""squeeze_dims"", axis)
  10618       return _result

MemoryError: std::bad_alloc",API Input Context,Supporting Specific Data Types,,,,,2023-11-29T19:27:17Z,,
,https://github.com/tensorflow/tensorflow/issues/62399,no,2.12.0,tf.math.log,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Modeling Specific Inputs,,,,,2023-11-14T23:45:40Z,,
,https://github.com/tensorflow/tensorflow/issues/61510,yes,2.13.0,tf.matmul,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Large Input Tensor,https://github.com/tensorflow/tensorflow/pull/61595,,,,2023-08-09T11:02:05Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61369,no,2.13.0,tf.keras.layers.StringLookup,Logical,ValueError,Cannot set an empty vocabulary,"ValueError: Cannot set an empty vocabulary, you passed [].",API Input Context,Modeling Specific Inputs,Mohammad,,,,2023-07-24T17:57:32Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61249,yes,2.13.0,tf.linalg.logdet,Logical,Inconsistent results,Inconsistent results,Inconsistent results,API Input Context,Supporting Specific Data Types,,,,,2023-07-12T05:06:25Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61246,yes,2.13.0,tf.image.adjust_contrast,Logical,NotFoundError,Could not find device for node,NotFoundError: Could not find device for node: {{node AdjustContrastv2}} = AdjustContrastv2[T=DT_HALF],API Input Context,Supporting Specific Data Types,,,,,2023-07-11T16:05:56Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/61117,yes,2.13.0,tf.math.reduce_prod,Logical,AssertionError,AssertionError,AssertionError: d2z_dydx = 0.0,API Input Context,Modeling Specific Inputs,,1.0,trigger: 0  elements in the input,,2023-06-28T16:17:39Z,1.0,N.A
